index,pts_seconds,width,height,pix_fmt,bytes
0,0.000000,320,180,i420,86400
1,0.040000,320,180,i420,86400
2,0.080000,320,180,i420,86400
3,0.120000,320,180,i420,86400
4,0.160000,320,180,i420,86400
5,0.200000,320,180,i420,86400
6,0.240000,320,180,i420,86400
7,0.280000,320,180,i420,86400
8,0.320000,320,180,i420,86400
9,0.360000,320,180,i420,86400
10,0.400000,320,180,i420,86400
11,0.440000,320,180,i420,86400
12,0.480000,320,180,i420,86400
13,0.520000,320,180,i420,86400
14,0.560000,320,180,i420,86400
15,0.600000,320,180,i420,86400
16,0.640000,320,180,i420,86400
17,0.680000,320,180,i420,86400
18,0.720000,320,180,i420,86400
19,0.760000,320,180,i420,86400
20,0.800000,320,180,i420,86400
21,0.840000,320,180,i420,86400
22,0.880000,320,180,i420,86400
23,0.920000,320,180,i420,86400
24,0.960000,320,180,i420,86400
25,1.000000,320,180,i420,86400
26,1.040000,320,180,i420,86400
27,1.080000,320,180,i420,86400
28,1.120000,320,180,i420,86400
29,1.160000,320,180,i420,86400
30,1.200000,320,180,i420,86400
31,1.240000,320,180,i420,86400
32,1.280000,320,180,i420,86400
33,1.320000,320,180,i420,86400
34,1.360000,320,180,i420,86400
35,1.400000,320,180,i420,86400
36,1.440000,320,180,i420,86400
37,1.480000,320,180,i420,86400
38,1.520000,320,180,i420,86400
39,1.560000,320,180,i420,86400
40,1.600000,320,180,i420,86400
41,1.640000,320,180,i420,86400
42,1.680000,320,180,i420,86400
43,1.720000,320,180,i420,86400
44,1.760000,320,180,i420,86400
45,1.800000,320,180,i420,86400
46,1.840000,320,180,i420,86400
47,1.880000,320,180,i420,86400
48,1.920000,320,180,i420,86400
49,1.960000,320,180,i420,86400
50,2.000000,320,180,i420,86400
51,2.040000,320,180,i420,86400
52,2.080000,320,180,i420,86400
53,2.120000,320,180,i420,86400
54,2.160000,320,180,i420,86400
55,2.200000,320,180,i420,86400
56,2.240000,320,180,i420,86400
57,2.280000,320,180,i420,86400
58,2.320000,320,180,i420,86400
59,2.360000,320,180,i420,86400
60,2.400000,320,180,i420,86400
61,2.440000,320,180,i420,86400
62,2.480000,320,180,i420,86400
63,2.520000,320,180,i420,86400
64,2.560000,320,180,i420,86400
65,2.600000,320,180,i420,86400
66,2.640000,320,180,i420,86400
67,2.680000,320,180,i420,86400
68,2.720000,320,180,i420,86400
69,2.760000,320,180,i420,86400
70,2.800000,320,180,i420,86400
71,2.840000,320,180,i420,86400
72,2.880000,320,180,i420,86400
73,2.920000,320,180,i420,86400
74,2.960000,320,180,i420,86400
75,3.000000,320,180,i420,86400
76,3.040000,320,180,i420,86400
77,3.080000,320,180,i420,86400
78,3.120000,320,180,i420,86400
79,3.160000,320,180,i420,86400
80,3.200000,320,180,i420,86400
81,3.240000,320,180,i420,86400
82,3.280000,320,180,i420,86400
83,3.320000,320,180,i420,86400
84,3.360000,320,180,i420,86400
85,3.400000,320,180,i420,86400
86,3.440000,320,180,i420,86400
87,3.480000,320,180,i420,86400
88,3.520000,320,180,i420,86400
89,3.560000,320,180,i420,86400
90,3.600000,320,180,i420,86400
91,3.640000,320,180,i420,86400
92,3.680000,320,180,i420,86400
93,3.720000,320,180,i420,86400
94,3.760000,320,180,i420,86400
95,3.800000,320,180,i420,86400
96,3.840000,320,180,i420,86400
97,3.880000,320,180,i420,86400
98,3.920000,320,180,i420,86400
99,3.960000,320,180,i420,86400
100,4.000000,320,180,i420,86400
101,4.040000,320,180,i420,86400
